,name,quanto_multiplier,mark_price,order_size_min,value_usd
52,BNB_USDT,0.001,395.95,1,0.39595
316,CSPR_USDT,10.0,0.03988,1,0.3988
230,GALA_USDT,10.0,0.04004,1,0.4004
315,C98_USDT,1.0,0.4025,1,0.4025
2,ORBS_USDT,10.0,0.04038,1,0.4038
300,ENJ_USDT,1.0,0.4116,1,0.4116
253,HFT_USDT,1.0,0.4249,1,0.4249
254,ONDO_USDT,1.0,0.4347,1,0.4347
279,MASK_USDT,0.1,4.452,1,0.44520000000000004
124,FTM_USDT,1.0,0.4478,1,0.4478
136,BADGER_USDT,0.1,4.549,1,0.4549000000000001
132,XRD_USDT,10.0,0.0472,1,0.472
332,MBL_USDT,100.0,0.004761,1,0.47609999999999997
266,VTHO_USDT,100.0,0.004858,1,0.4858
232,BAL_USDT,0.1,4.871,1,0.4871000000000001
314,1INCH_USDT,1.0,0.4946,1,0.4946
171,GT_USDT,0.1,4.998,1,0.4998
255,JUP_USDT,1.0,0.5023,1,0.5023
293,CVX_USDT,0.1,5.107,1,0.5107
260,WOO_USDT,1.0,0.5129,1,0.5129
138,GMX_USDT,0.01,51.63,1,0.5163
193,VELO_USDT,100.0,0.005182,1,0.5182
211,SLN_USDT,0.1,5.2594,1,0.5259400000000001
188,ALT_USDT,1.0,0.5314,1,0.5314
141,OG_USDT,0.1,5.325,1,0.5325000000000001
64,FLOKI_USDT,10000.0,5.347e-05,1,0.5347000000000001
259,CTC_USDT,1.0,0.5404,1,0.5404
276,PIXEL_USDT,1.0,0.548,1,0.548
74,SAND_USDT,1.0,0.5611,1,0.5611
239,FUN_USDT,100.0,0.005814,1,0.5813999999999999
250,JOE_USDT,1.0,0.5828,1,0.5828
344,ID_USDT,1.0,0.5857,1,0.5857
160,FRONT_USDT,1.0,0.5958,1,0.5958
306,RUNE_USDT,0.1,5.963,1,0.5963
215,IOTX_USDT,10.0,0.05965,1,0.5965
3,PNG_USDT,1.0,0.6019,1,0.6019
238,AKRO_USDT,100.0,0.006027,1,0.6027
320,STPT_USDT,10.0,0.06034,1,0.6033999999999999
166,YGG_USDT,1.0,0.6174,1,0.6174
44,XVG_USDT,100.0,0.006477,1,0.6477
31,DMAIL_USDT,1.0,0.648,1,0.648
229,WIF_USDT,1.0,0.6622,1,0.6622
213,CORE_USDT,1.0,0.6638,1,0.6638
97,PEPE2_USDT,10000000.0,6.68e-08,1,0.668
33,HIFI_USDT,1.0,0.6763,1,0.6763
78,STG_USDT,1.0,0.6816,1,0.6816
341,ARPA_USDT,10.0,0.06946,1,0.6945999999999999
1,KNC_USDT,1.0,0.6977,1,0.6977
115,LUNA_USDT,1.0,0.7091,1,0.7091
291,TRU_USDT,10.0,0.07107,1,0.7106999999999999
70,YFII_USDT,0.001,716.3,1,0.7162999999999999
181,UNFI_USDT,0.1,7.3,1,0.73
77,BLUR_USDT,1.0,0.7422,1,0.7422
131,GROK_USDT,100.0,0.007498,1,0.7498
90,KEY_USDT,100.0,0.007508,1,0.7508
86,MDT_USDT,10.0,0.07593,1,0.7593
121,OCEAN_USDT,1.0,0.7646,1,0.7646
231,STORJ_USDT,1.0,0.7692,1,0.7692
223,REN_USDT,10.0,0.07695,1,0.7695000000000001
12,BEL_USDT,1.0,0.7886,1,0.7886
233,MOVEZ_USDT,1000.0,0.0007914,1,0.7914
130,BSV_USDT,0.01,80.12,1,0.8012
133,SFP_USDT,1.0,0.802,1,0.802
28,1CAT_USDT,100.0,0.008044,1,0.8044000000000001
118,CTK_USDT,1.0,0.8087,1,0.8087
63,NFP_USDT,1.0,0.809,1,0.809
37,OMG_USDT,1.0,0.8105,1,0.8105
157,ZKF_USDT,100.0,0.008156,1,0.8156
68,ANT_USDT,0.1,8.222,1,0.8222
55,STMX_USDT,100.0,0.008232,1,0.8231999999999999
120,EDU_USDT,1.0,0.8255,1,0.8255
226,KAVA_USDT,1.0,0.8259,1,0.8259
268,EOS_USDT,1.0,0.832,1,0.832
191,YFI_USDT,0.0001,8420.3,1,0.84203
103,COMP_USDT,0.01,84.6,1,0.846
39,POGAI_USDT,10000.0,8.483e-05,1,0.8482999999999999
201,ARK_USDT,1.0,0.8647,1,0.8647
88,BNT_USDT,1.0,0.868,1,0.868
170,LADYS_USDT,10000000.0,8.686e-08,1,0.8685999999999999
187,HNT_USDT,0.1,8.792,1,0.8792
82,AXS_USDT,0.1,8.815,1,0.8815
220,CYBER_USDT,0.1,8.92,1,0.892
283,SKL_USDT,10.0,0.09295,1,0.9295
4,SC_USDT,100.0,0.009378,1,0.9378
180,SPELL_USDT,1000.0,0.0009446,1,0.9446
221,SYN_USDT,1.0,0.9588,1,0.9588
206,CELO_USDT,1.0,0.9603,1,0.9603
309,DOGE_USDT,10.0,0.09613,1,0.9612999999999999
153,ARDR_USDT,10.0,0.09905,1,0.9904999999999999
311,APT_USDT,0.1,9.983,1,0.9983000000000001
113,USDC_USDT,1.0,0.9987,1,0.9987
284,TOMI_USDT,1.0,1.016,1,1.016
105,LOOM_USDT,10.0,0.10172,1,1.0172
56,SWEAT_USDT,100.0,0.010343,1,1.0343
207,FLM_USDT,10.0,0.10405,1,1.0405
41,AAVE_USDT,0.01,104.57,1,1.0456999999999999
148,FLUX_USDT,1.0,1.0519,1,1.0519
275,CETUS_USDT,10.0,0.10709,1,1.0709
183,METIS_USDT,0.01,107.18,1,1.0718
93,AMB_USDT,100.0,0.010806,1,1.0806
224,HBAR_USDT,10.0,0.10848,1,1.0848
271,FET_USDT,1.0,1.0986,1,1.0986
304,QNT_USDT,0.01,110.39,1,1.1039
330,ZEN_USDT,0.1,11.102,1,1.1102
117,BTT_USDT,1000000.0,1.121e-06,1,1.121
328,PROM_USDT,0.1,11.335,1,1.1335000000000002
343,XTZ_USDT,1.0,1.161,1,1.161
151,CVC_USDT,10.0,0.11649,1,1.1649
47,ACE_USDT,0.1,11.92,1,1.192
303,HOOK_USDT,1.0,1.1929,1,1.1929
318,MYRIA_USDT,100.0,0.012165,1,1.2165000000000001
122,XLM_USDT,10.0,0.1222,1,1.222
263,ILV_USDT,0.01,122.25,1,1.2225
298,SUPER_USDT,1.0,1.2457,1,1.2457
155,LIT_USDT,1.0,1.2464,1,1.2464
327,XNO_USDT,1.0,1.2482,1,1.2482
228,KDA_USDT,1.0,1.2495,1,1.2495
126,MUBI_USDT,10.0,0.1286,1,1.286
85,MAGIC_USDT,1.0,1.2891,1,1.2891
79,LUNC_USDT,10000.0,0.00013123,1,1.3123
102,OXT_USDT,10.0,0.13152,1,1.3152
159,XMR_USDT,0.01,138.54,1,1.3854
236,TWT_USDT,1.0,1.386,1,1.386
83,XAI_USDT,1.0,1.3894,1,1.3894
296,LSK_USDT,1.0,1.4158,1,1.4158
145,RARE_USDT,10.0,0.14355,1,1.4355000000000002
125,LPT_USDT,0.1,14.572,1,1.4572
305,PRQ_USDT,10.0,0.14949,1,1.4949000000000001
165,AGLD_USDT,1.0,1.5033,1,1.5033
240,CKB_USDT,100.0,0.015141,1,1.5141
40,ARKM_USDT,1.0,1.5203,1,1.5203
72,WIN_USDT,10000.0,0.0001521,1,1.5210000000000001
184,SUSHI_USDT,1.0,1.5798,1,1.5798
339,SUI_USDT,1.0,1.6198,1,1.6198
19,ASTR_USDT,10.0,0.16198,1,1.6198000000000001
11,LQTY_USDT,1.0,1.6659,1,1.6659
46,DENT_USDT,1000.0,0.0017161,1,1.7161
161,AI_USDT,1.0,1.7211,1,1.7211
292,SOLS_USDT,1.0,1.758,1,1.758
210,OAX_USDT,10.0,0.17739,1,1.7738999999999998
243,PHB_USDT,1.0,1.8588,1,1.8588
186,HIGH_USDT,1.0,1.872,1,1.872
189,ARB_USDT,1.0,1.8851,1,1.8851
205,STRK_USDT,1.0,1.9148,1,1.9148
247,THETA_USDT,1.0,1.9354,1,1.9354
49,APE_USDT,1.0,1.954,1,1.954
140,POLYX_USDT,10.0,0.1973,1,1.973
178,AR_USDT,0.1,21.011,1,2.1011
127,ALGO_USDT,10.0,0.2104,1,2.104
285,DODO_USDT,10.0,0.21479,1,2.1479
98,MKR_USDT,0.001,2154.8,1,2.1548000000000003
135,RIF_USDT,10.0,0.21844,1,2.1844
322,ENS_USDT,0.1,22.581,1,2.2581
111,WEMIX_USDT,1.0,2.2855,1,2.2855
262,BAIDOGE_USDT,10.0,0.23612,1,2.3612
146,JTO_USDT,1.0,2.3801,1,2.3801
106,CFX_USDT,10.0,0.2492,1,2.492
199,STEEM_USDT,10.0,0.2556,1,2.556
100,BENQI_USDT,100.0,0.02559,1,2.559
198,ZETA_USDT,1.0,2.5771,1,2.5771
202,WAVES_USDT,1.0,2.662,1,2.662
80,BAT_USDT,10.0,0.2716,1,2.716
123,HOT_USDT,1000.0,0.00273,1,2.73
288,GRT_USDT,10.0,0.27725,1,2.7725
280,ETC_USDT,0.1,28.144,1,2.8144
317,VOXEL_USDT,10.0,0.2884,1,2.884
162,PENDLE_USDT,1.0,2.8935,1,2.8935
200,BCH_USDT,0.01,291.62,1,2.9162
340,MANTA_USDT,1.0,2.9555,1,2.9555
290,STX_USDT,1.0,2.9736,1,2.9736
269,AUCTION_USDT,0.1,29.893,1,2.9893
53,ZTX_USDT,100.0,0.02992,1,2.992
29,RON_USDT,1.0,3.0004,1,3.0004
137,RATS_USDT,10000.0,0.00030953,1,3.0953000000000004
8,NMR_USDT,0.1,31.53,1,3.1530000000000005
7,AURORA_USDT,10.0,0.32041,1,3.2040999999999995
13,DUSK_USDT,10.0,0.3232,1,3.2319999999999998
179,IMX_USDT,1.0,3.3257,1,3.3257
36,SSV_USDT,0.1,34.135,1,3.4135
281,JST_USDT,100.0,0.03422,1,3.422
261,QTUM_USDT,1.0,3.463,1,3.463
329,LDO_USDT,1.0,3.4764,1,3.4764
25,BEAMX_USDT,100.0,0.035264,1,3.5263999999999998
337,ONG_USDT,10.0,0.3545,1,3.545
287,POWR_USDT,10.0,0.3556,1,3.556
299,USTC_USDT,100.0,0.036109,1,3.6109
167,OP_USDT,1.0,3.7278,1,3.7278
87,BLZ_USDT,10.0,0.3757,1,3.7569999999999997
43,BOND_USDT,1.0,3.807,1,3.807
227,GLM_USDT,10.0,0.3819,1,3.819
219,RLC_USDT,1.0,3.8281,1,3.8281
192,NEAR_USDT,1.0,3.957,1,3.957
312,VRTX_USDT,10.0,0.3999,1,3.9989999999999997
169,TOKEN_USDT,100.0,0.04133,1,4.133
251,GTAI_USDT,1.0,4.1651,1,4.1651
21,INJ_USDT,0.1,41.703,1,4.1703
242,API3_USDT,1.0,4.199,1,4.199
129,FORTH_USDT,1.0,4.24,1,4.24
246,UMA_USDT,1.0,4.3087,1,4.3087
107,CHR_USDT,10.0,0.4349,1,4.349
204,AMP_USDT,1000.0,0.004707,1,4.707
278,FLR_USDT,100.0,0.048542,1,4.8542000000000005
173,VET_USDT,100.0,0.04857,1,4.857
257,KSM_USDT,0.1,49.63,1,4.963000000000001
59,OKB_USDT,0.1,51.63,1,5.163
17,SATS_USDT,10000000.0,5.163e-07,1,5.163
249,BTC_USDT,0.0001,56883.0,1,5.6883
270,XRP_USDT,10.0,0.5834,1,5.8340000000000005
342,EGLD_USDT,0.1,59.74,1,5.974
65,ADA_USDT,10.0,0.6215,1,6.215000000000001
190,DYM_USDT,1.0,6.2639,1,6.2639
241,FLIP_USDT,1.0,6.324,1,6.324
0,GAS_USDT,1.0,6.41,1,6.41
6,GNS_USDT,1.0,6.52,1,6.52
67,ORDI_USDT,0.1,67.656,1,6.765600000000001
308,AGIX_USDT,10.0,0.6769,1,6.768999999999999
84,PYTH_USDT,10.0,0.693,1,6.93
217,MAV_USDT,10.0,0.6987,1,6.987
345,MAVIA_USDT,1.0,7.1618,1,7.1618
334,RNDR_USDT,1.0,7.243,1,7.243
42,LTC_USDT,0.1,74.55,1,7.455
91,WLD_USDT,1.0,7.475,1,7.475
62,DOT_USDT,1.0,8.337,1,8.337
134,SEI_USDT,10.0,0.87608,1,8.7608
272,MATIC_USDT,10.0,1.0291,1,10.290999999999999
38,UNI_USDT,1.0,11.173,1,11.173
218,ATOM_USDT,1.0,11.185,1,11.185
234,STRAX_USDT,10.0,1.1317,1,11.317
114,TRB_USDT,0.1,117.504,1,11.7504
302,NEO_USDT,1.0,13.267,1,13.267
297,ROSE_USDT,100.0,0.13326,1,13.325999999999999
310,CHZ_USDT,100.0,0.1415,1,14.149999999999999
69,TRX_USDT,100.0,0.14336,1,14.335999999999999
94,BONK_USDT,1000000.0,1.46964e-05,1,14.6964
89,TIA_USDT,1.0,16.868,1,16.868
54,KAS_USDT,100.0,0.17045,1,17.044999999999998
265,NTRN_USDT,10.0,1.7435,1,17.435000000000002
104,LINK_USDT,1.0,18.954,1,18.954
235,PEPE_USDT,10000000.0,2.8421e-06,1,28.421
27,ETH_USDT,0.01,3244.7,1,32.446999999999996
264,AVAX_USDT,1.0,39.31,1,39.31
48,BIGTIME_USDT,100.0,0.4446,1,44.46
95,PYR_USDT,9.6,7.467,1,71.6832
81,SOL_USDT,1.0,108.114,1,108.114
